Station_ID,Station_Name,Basin,Month,Month_Name,LTMM_mm_month,N_Years
AB0004,KH.EL-WAHADNEH,N.R.S.W,1,January,87.49,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,2,February,81.74,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,3,March,53.025,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,4,April,11.58,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,5,May,7.36,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,6,June,0,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,7,July,0,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,8,August,0,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,9,September,0,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,10,October,11.7,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,11,November,30.38,20
AB0004,KH.EL-WAHADNEH,N.R.S.W,12,December,63.42,20
AD0002,HARTHA,YARMOUK (JORDAN),1,January,85.035,20
AD0002,HARTHA,YARMOUK (JORDAN),2,February,92.47,20
AD0002,HARTHA,YARMOUK (JORDAN),3,March,52.925,20
AD0002,HARTHA,YARMOUK (JORDAN),4,April,19.17,20
AD0002,HARTHA,YARMOUK (JORDAN),5,May,3.895,20
AD0002,HARTHA,YARMOUK (JORDAN),6,June,0,20
AD0002,HARTHA,YARMOUK (JORDAN),7,July,0,20
AD0002,HARTHA,YARMOUK (JORDAN),8,August,0,20
AD0002,HARTHA,YARMOUK (JORDAN),9,September,0,20
AD0002,HARTHA,YARMOUK (JORDAN),10,October,9.21,20
AD0002,HARTHA,YARMOUK (JORDAN),11,November,21.38,20
AD0002,HARTHA,YARMOUK (JORDAN),12,December,71.79,20
AD0005,UM QEIS,YARMOUK (JORDAN),1,January,92.105,20
AD0005,UM QEIS,YARMOUK (JORDAN),2,February,80.94,20
AD0005,UM QEIS,YARMOUK (JORDAN),3,March,58.33,20
AD0005,UM QEIS,YARMOUK (JORDAN),4,April,18.73,20
AD0005,UM QEIS,YARMOUK (JORDAN),5,May,5.505,20
AD0005,UM QEIS,YARMOUK (JORDAN),6,June,0,20
AD0005,UM QEIS,YARMOUK (JORDAN),7,July,0,20
AD0005,UM QEIS,YARMOUK (JORDAN),8,August,0,20
AD0005,UM QEIS,YARMOUK (JORDAN),9,September,0,20
AD0005,UM QEIS,YARMOUK (JORDAN),10,October,10.01,20
AD0005,UM QEIS,YARMOUK (JORDAN),11,November,30.825,20
AD0005,UM QEIS,YARMOUK (JORDAN),12,December,78.315,20
AD0008,KHARJA,YARMOUK (JORDAN),1,January,94.335,20
AD0008,KHARJA,YARMOUK (JORDAN),2,February,93.44,20
AD0008,KHARJA,YARMOUK (JORDAN),3,March,60.355,20
AD0008,KHARJA,YARMOUK (JORDAN),4,April,19.355,20
AD0008,KHARJA,YARMOUK (JORDAN),5,May,3.015,20
AD0008,KHARJA,YARMOUK (JORDAN),6,June,0,20
AD0008,KHARJA,YARMOUK (JORDAN),7,July,0,20
AD0008,KHARJA,YARMOUK (JORDAN),8,August,0,20
AD0008,KHARJA,YARMOUK (JORDAN),9,September,0,20
AD0008,KHARJA,YARMOUK (JORDAN),10,October,8.745,20
AD0008,KHARJA,YARMOUK (JORDAN),11,November,27.325,20
AD0008,KHARJA,YARMOUK (JORDAN),12,December,72.25,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),1,January,61.72,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),2,February,68.5,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),3,March,37.8,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),4,April,10.38,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),5,May,3.2,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),6,June,0,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),7,July,0,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),8,August,0,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),9,September,0,20
AD0011,EN NUEIYIME,YARMOUK (JORDAN),10,October,7.06,20
