Station_ID,Station_Name,Basin,Year,Month,pr_mm_month,N_Valid_Days
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,1,19.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,2,41.5,28
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,3,11.6,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,4,14.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,5,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,6,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,7,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,8,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,9,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,10,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,11,14.2,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1995,12,26.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,1,80.4,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,2,15.6,29
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,3,93.3,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,4,20.3,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,5,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,6,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,7,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,8,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,9,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,10,40.7,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,11,8.1,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1996,12,44.1,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,1,102.8,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,2,207.1,28
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,3,109.1,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,4,8.1,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,5,13.8,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,6,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,7,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,8,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,9,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,10,9.1,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,11,43.7,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1997,12,120.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,1,105.1,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,2,67.3,28
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,3,143.3,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,4,18.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,5,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,6,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,7,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,8,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,9,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,10,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,11,17.1,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1998,12,7.7,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,1,70.9,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,2,25.4,28
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,3,39.8,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,4,20.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,5,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,6,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,7,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,8,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,9,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,10,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,11,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,1999,12,18.3,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,1,260.6,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,2,88.3,29
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,3,67.2,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,4,1.2,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,5,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,6,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,7,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,8,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,9,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,10,38.4,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,11,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,2000,12,144.1,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2001,1,72.5,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2001,2,78.4,28
AB0004,KH.EL-WAHADNEH,N.R.S.W,2001,3,4.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2001,4,1.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,2001,5,59.7,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2001,6,0.0,30
AB0004,KH.EL-WAHADNEH,N.R.S.W,2001,7,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2001,8,0.0,31
AB0004,KH.EL-WAHADNEH,N.R.S.W,2001,9,0.0,30
